Gene ID	source_id	gene_source_id	Gene Name or Symbol	Hypnozoite, schizont and blood stage transcriptomes (laser microdissection) - Liver schizont - unique (Pcyn LCM hypno-schizo-blood RNA-Seq)	Hypnozoite, schizont and blood stage transcriptomes (laser microdissection) - Blood stage - unique (Pcyn LCM hypno-schizo-blood RNA-Seq)	Hypnozoite, schizont and blood stage transcriptomes (laser microdissection) - Hypnozoite - unique (Pcyn LCM hypno-schizo-blood RNA-Seq)	
PcyM_0005100	PcyM_0005100-t36_1	PcyM_0005100	N/A	0	8.03	0	
PcyM_0005200	PcyM_0005200-t36_1	PcyM_0005200	N/A	0	2.37	0	
PcyM_0005300	PcyM_0005300-t36_1	PcyM_0005300	N/A	0	3.04	0	
PcyM_0005400	PcyM_0005400-t36_1	PcyM_0005400	N/A	0	8.92	0	
PcyM_0005500	PcyM_0005500-t36_1	PcyM_0005500	N/A	0	12.73	0	
PcyM_0005600	PcyM_0005600-t36_1	PcyM_0005600	N/A	0	4.47	0	
PcyM_0005700	PcyM_0005700-t36_1	PcyM_0005700	N/A	0	6.42	0	
PcyM_0005800	PcyM_0005800-t36_1	PcyM_0005800	N/A	0.05	0.21	0	
PcyM_0005900	PcyM_0005900-t36_1	PcyM_0005900	N/A	0	0	0	
PcyM_0006000	PcyM_0006000-t36_1	PcyM_0006000	N/A	0	0.21	0	
PcyM_0006100	PcyM_0006100-t36_1	PcyM_0006100	N/A	0	0	0	
PcyM_0006200	PcyM_0006200-t36_1	PcyM_0006200	N/A	0	1.41	0	
PcyM_0006300	PcyM_0006300-t36_1	PcyM_0006300	N/A	0.15	4.8	0	
PcyM_0006400	PcyM_0006400-t36_1	PcyM_0006400	N/A	0	6.81	0	
PcyM_0006500	PcyM_0006500-t36_1	PcyM_0006500	N/A	0	4.82	0	
PcyM_0006600	PcyM_0006600-t36_1	PcyM_0006600	N/A	0	2.48	0	
PcyM_0006700	PcyM_0006700-t36_1	PcyM_0006700	N/A	0	2.23	0	
PcyM_0006800	PcyM_0006800-t36_1	PcyM_0006800	N/A	0	8.4	0	
PcyM_0006900	PcyM_0006900-t36_1	PcyM_0006900	N/A	22.07	57.09	0	
PcyM_0007000	PcyM_0007000-t36_1	PcyM_0007000	N/A	0	2.94	0	
PcyM_0007100	PcyM_0007100-t36_1	PcyM_0007100	N/A	0	1.08	0	
PcyM_0007200	PcyM_0007200-t36_1	PcyM_0007200	N/A	0.07	0.59	19.21	
PcyM_0007250	PcyM_0007250-t36_1	PcyM_0007250	N/A	0	2.83	0	
PcyM_0007300	PcyM_0007300-t36_1	PcyM_0007300	N/A	0	4.83	0	
PcyM_0007400	PcyM_0007400-t36_1	PcyM_0007400	N/A	0	2.12	0	
PcyM_0007500	PcyM_0007500-t36_1	PcyM_0007500	N/A	0	0.33	0	
PcyM_0007600	PcyM_0007600-t36_1	PcyM_0007600	N/A	0	8.32	0	
PcyM_0007700	PcyM_0007700-t36_1	PcyM_0007700	N/A	0	10.71	1.56	
PcyM_0007800	PcyM_0007800-t36_1	PcyM_0007800	N/A	0	1.35	1.08	
PcyM_0007850	PcyM_0007850-t36_1	PcyM_0007850	N/A	0	4.34	0	
PcyM_0007870	PcyM_0007870-t36_1	PcyM_0007870	N/A	0	0.9	0	
PcyM_0007900	PcyM_0007900-t36_1	PcyM_0007900	N/A	0	6.27	0	
PcyM_0008000	PcyM_0008000-t36_1	PcyM_0008000	N/A	0	5.6	0	
PcyM_0008100	PcyM_0008100-t36_1	PcyM_0008100	N/A	0	3.08	0	
PcyM_0008200	PcyM_0008200-t36_1	PcyM_0008200	N/A	0	1.76	0	
PcyM_0008250	PcyM_0008250-t36_1	PcyM_0008250	N/A	0	0.07	0	
PcyM_0008300	PcyM_0008300-t36_1	PcyM_0008300	N/A	0.09	0.13	0	
PcyM_0008400	PcyM_0008400-t36_1	PcyM_0008400	N/A	0	0	0	
PcyM_0008500	PcyM_0008500-t36_1	PcyM_0008500	N/A	0	6.96	0	
PcyM_0008600	PcyM_0008600-t36_1	PcyM_0008600	N/A	0	3.01	0	
PcyM_0008700	PcyM_0008700-t36_1	PcyM_0008700	N/A	0	10.59	4.75	
PcyM_0008750	PcyM_0008750-t36_1	PcyM_0008750	N/A	0	0.87	0	
PcyM_0008800	PcyM_0008800-t36_1	PcyM_0008800	N/A	0	22.11	0	
PcyM_0008900	PcyM_0008900-t36_1	PcyM_0008900	N/A	0	10.27	0.62	
PcyM_0009000	PcyM_0009000-t36_1	PcyM_0009000	N/A	0	1.85	0	
PcyM_0009100	PcyM_0009100-t36_1	PcyM_0009100	N/A	0	1.82	0	
PcyM_0009200	PcyM_0009200-t36_1	PcyM_0009200	N/A	0	0.92	3.22	
PcyM_0009250	PcyM_0009250-t36_1	PcyM_0009250	N/A	0	5.08	3.67	
PcyM_0009300	PcyM_0009300-t36_1	PcyM_0009300	N/A	0	1.18	0	
PcyM_0009400	PcyM_0009400-t36_1	PcyM_0009400	N/A	0	0	0	
PcyM_0009500	PcyM_0009500-t36_1	PcyM_0009500	N/A	0	6.01	0	
PcyM_0009600	PcyM_0009600-t36_1	PcyM_0009600	N/A	0	6.51	0	
PcyM_0009700	PcyM_0009700-t36_1	PcyM_0009700	N/A	0	28.1	0.84	
PcyM_0009800	PcyM_0009800-t36_1	PcyM_0009800	N/A	0	2.91	0	
PcyM_0009900	PcyM_0009900-t36_1	PcyM_0009900	N/A	0	7.97	0	
