Gene ID	source_id	gene_source_id	Gene Name or Symbol	Hypnozoite, schizont and blood stage transcriptomes (laser microdissection) - Liver schizont - unique (Pcyn LCM hypno-schizo-blood RNA-Seq)	Hypnozoite, schizont and blood stage transcriptomes (laser microdissection) - Blood stage - unique (Pcyn LCM hypno-schizo-blood RNA-Seq)	Hypnozoite, schizont and blood stage transcriptomes (laser microdissection) - Hypnozoite - unique (Pcyn LCM hypno-schizo-blood RNA-Seq)	
PcyM_0100505	PcyM_0100505-t36_1	PcyM_0100505	N/A	0	1.6	5.87	
PcyM_0100600	PcyM_0100600-t36_1	PcyM_0100600	N/A	0	4.4	0	
PcyM_0100650	PcyM_0100650-t36_1	PcyM_0100650	N/A	0	0.33	9.94	
PcyM_0100700	PcyM_0100700-t36_1	PcyM_0100700	N/A	0	1	0	
PcyM_0100750	PcyM_0100750-t36_1	PcyM_0100750	N/A	0	1.61	0	
PcyM_0100800	PcyM_0100800-t36_1	PcyM_0100800	N/A	0	4.65	0	
PcyM_0101000	PcyM_0101000-t36_1	PcyM_0101000	N/A	0	0.23	0	
PcyM_0101100	PcyM_0101100-t36_1	PcyM_0101100	N/A	0.77	17.44	0	
PcyM_0101200	PcyM_0101200-t36_1	PcyM_0101200	N/A	0	69.93	0	
PcyM_0101300	PcyM_0101300-t36_1	PcyM_0101300	N/A	0	20.26	0	
PcyM_0101400	PcyM_0101400-t36_1	PcyM_0101400	N/A	0	19.89	0	
PcyM_0101500	PcyM_0101500-t36_1	PcyM_0101500	N/A	1.04	0.93	1.23	
PcyM_0101600	PcyM_0101600-t36_1	PcyM_0101600	N/A	0	61.89	0	
PcyM_0101700	PcyM_0101700-t36_1	PcyM_0101700	N/A	0	11.76	0	
PcyM_0102000	PcyM_0102000-t36_1	PcyM_0102000	N/A	0.04	10.44	3.31	
PcyM_0102200	PcyM_0102200-t36_1	PcyM_0102200	N/A	0	0.57	0	
PcyM_0102300	PcyM_0102300-t36_1	PcyM_0102300	N/A	0.85	43.84	0	
PcyM_0102400	PcyM_0102400-t36_1	PcyM_0102400	DBP2	2.92	7.27	1.97	
PcyM_0102500	PcyM_0102500-t36_1	PcyM_0102500	N/A	0.53	240.78	0	
PcyM_0102600	PcyM_0102600-t36_1	PcyM_0102600	N/A	41.41	231.08	570.12	
PcyM_0102700	PcyM_0102700-t36_1	PcyM_0102700	SEMP1	1.4	1913.34	0	
PcyM_0102800	PcyM_0102800-t36_1	PcyM_0102800	N/A	0	838.01	0	
PcyM_0102900	PcyM_0102900-t36_1	PcyM_0102900	CHT1	0.03	1.06	0	
PcyM_0103200	PcyM_0103200-t36_1	PcyM_0103200	N/A	146.57	76.05	206.37	
PcyM_0103300	PcyM_0103300-t36_1	PcyM_0103300	N/A	35.26	6.94	31.02	
PcyM_0103400	PcyM_0103400-t36_1	PcyM_0103400	N/A	132.14	195.55	87.8	
PcyM_0103500	PcyM_0103500-t36_1	PcyM_0103500	N/A	31.2	9.29	125.58	
PcyM_0103600	PcyM_0103600-t36_1	PcyM_0103600	N/A	150.99	83.05	6.87	
PcyM_0103700	PcyM_0103700-t36_1	PcyM_0103700	N/A	47.46	71.81	0.68	
PcyM_0103800	PcyM_0103800-t36_1	PcyM_0103800	N/A	44.52	27.4	1.79	
PcyM_0103900	PcyM_0103900-t36_1	PcyM_0103900	N/A	28.53	276.17	0	
PcyM_0104000	PcyM_0104000-t36_1	PcyM_0104000	N/A	57.86	98.83	0	
PcyM_0104100	PcyM_0104100-t36_1	PcyM_0104100	N/A	5.83	39.97	1.5	
PcyM_0104200	PcyM_0104200-t36_1	PcyM_0104200	N/A	16.95	5.04	7.9	
PcyM_0104300	PcyM_0104300-t36_1	PcyM_0104300	N/A	9.66	3.37	0.15	
PcyM_0104400	PcyM_0104400-t36_1	PcyM_0104400	N/A	18.11	15.02	11.35	
PcyM_0104500	PcyM_0104500-t36_1	PcyM_0104500	N/A	44.74	16.6	37.97	
PcyM_0104600	PcyM_0104600-t36_1	PcyM_0104600	N/A	23.51	7.99	1.19	
PcyM_0104700	PcyM_0104700-t36_1	PcyM_0104700	N/A	74.93	60.6	0.53	
PcyM_0104800	PcyM_0104800-t36_1	PcyM_0104800	N/A	3.59	1.6	0.76	
PcyM_0105000	PcyM_0105000-t36_1	PcyM_0105000	N/A	25.58	17.17	46.43	
PcyM_0105300	PcyM_0105300-t36_1	PcyM_0105300	PPAT	13.24	5.01	9.37	
PcyM_0105400	PcyM_0105400-t36_1	PcyM_0105400	N/A	52.9	13.54	121.7	
PcyM_0105500	PcyM_0105500-t36_1	PcyM_0105500	N/A	36.5	18.81	1.32	
PcyM_0105600	PcyM_0105600-t36_1	PcyM_0105600	N/A	21.01	22.83	89.72	
PcyM_0105700	PcyM_0105700-t36_1	PcyM_0105700	N/A	1.78	14.27	3.26	
PcyM_0105800	PcyM_0105800-t36_1	PcyM_0105800	N/A	17.69	2.34	2.94	
PcyM_0105900	PcyM_0105900-t36_1	PcyM_0105900	ORC2	54.23	34.89	235.73	
PcyM_0106000	PcyM_0106000-t36_1	PcyM_0106000	MCM7	204.6	143.13	17.48	
PcyM_0106100	PcyM_0106100-t36_1	PcyM_0106100	N/A	21.91	12.47	85.17	
PcyM_0106200	PcyM_0106200-t36_1	PcyM_0106200	N/A	33.88	22.09	4.05	
PcyM_0106300	PcyM_0106300-t36_1	PcyM_0106300	N/A	4529.68	4746.73	1459.69	
PcyM_0106400	PcyM_0106400-t36_1	PcyM_0106400	N/A	45.39	298.18	40.36	
PcyM_0106500	PcyM_0106500-t36_1	PcyM_0106500	N/A	4012.16	1422.52	1241.54	
PcyM_0106600	PcyM_0106600-t36_1	PcyM_0106600	N/A	217.91	66.52	266.58	
PcyM_0106700	PcyM_0106700-t36_1	PcyM_0106700	N/A	31.67	14.7	96.05	
PcyM_0107100	PcyM_0107100-t36_1	PcyM_0107100	N/A	1979.33	1019.44	722.34	
PcyM_0107200	PcyM_0107200-t36_1	PcyM_0107200	N/A	10.42	22.12	8.25	
PcyM_0107300	PcyM_0107300-t36_1	PcyM_0107300	RPL37	657.96	801.04	933.38	
PcyM_0107400	PcyM_0107400-t36_1	PcyM_0107400	N/A	15.61	19.93	88.05	
PcyM_0107500	PcyM_0107500-t36_1	PcyM_0107500	N/A	34.1	24.38	0	
PcyM_0107600	PcyM_0107600-t36_1	PcyM_0107600	MSH2-2	1.59	14.65	0.51	
PcyM_0108100	PcyM_0108100-t36_1	PcyM_0108100	N/A	10.34	6.97	2.85	
PcyM_0108200	PcyM_0108200-t36_1	PcyM_0108200	RAMA	1.49	12.6	0.55	
PcyM_0108300	PcyM_0108300-t36_1	PcyM_0108300	N/A	18.18	10.04	5.92	
PcyM_0108400	PcyM_0108400-t36_1	PcyM_0108400	N/A	30.72	21.77	2.09	
PcyM_0108500	PcyM_0108500-t36_1	PcyM_0108500	N/A	34.26	9.41	0	
PcyM_0108600	PcyM_0108600-t36_1	PcyM_0108600	N/A	14.44	3.96	2.12	
PcyM_0108700	PcyM_0108700-t36_1	PcyM_0108700	N/A	42.91	30	0.41	
PcyM_0108800	PcyM_0108800-t36_1	PcyM_0108800	N/A	207.38	159.94	87.04	
PcyM_0108900	PcyM_0108900-t36_1	PcyM_0108900	N/A	9.45	6.94	12.94	
PcyM_0109000	PcyM_0109000-t36_1	PcyM_0109000	N/A	245.47	298.63	3.94	
PcyM_0109100	PcyM_0109100-t36_1	PcyM_0109100	RPB10	417.12	328.84	82.05	
PcyM_0109200	PcyM_0109200-t36_1	PcyM_0109200	N/A	0.91	8.31	0	
PcyM_0109300	PcyM_0109300-t36_1	PcyM_0109300	BUD32	149.95	146.7	14	
PcyM_0109400	PcyM_0109400-t36_1	PcyM_0109400	HSP90	1897.75	1034.56	1969.72	
PcyM_0109600	PcyM_0109600-t36_1	PcyM_0109600	N/A	61.19	34.59	258.75	
PcyM_0109700	PcyM_0109700-t36_1	PcyM_0109700	IMC1d	123.86	313.15	7.4	
PcyM_0109800	PcyM_0109800-t36_1	PcyM_0109800	N/A	1200.76	466.09	165.6	
PcyM_0109900	PcyM_0109900-t36_1	PcyM_0109900	HSP110c	365.9	266	229.97	
PcyM_0110000	PcyM_0110000-t36_1	PcyM_0110000	N/A	41.3	17.65	8.67	
PcyM_0110100	PcyM_0110100-t36_1	PcyM_0110100	CRT	144.71	45.2	173.33	
PcyM_0110400	PcyM_0110400-t36_1	PcyM_0110400	N/A	121.53	36.72	11.4	
PcyM_0110500	PcyM_0110500-t36_1	PcyM_0110500	GLP3	137.23	54.97	0	
PcyM_0110600	PcyM_0110600-t36_1	PcyM_0110600	N/A	12.72	5.34	7.5	
PcyM_0110700	PcyM_0110700-t36_1	PcyM_0110700	N/A	22.01	16.74	2.54	
PcyM_0110800	PcyM_0110800-t36_1	PcyM_0110800	N/A	296.9	229.29	437.24	
PcyM_0110900	PcyM_0110900-t36_1	PcyM_0110900	POP1	36.53	28.32	282.11	
PcyM_0111000	PcyM_0111000-t36_1	PcyM_0111000	N/A	294.27	169	0.69	
PcyM_0111100	PcyM_0111100-t36_1	PcyM_0111100	N/A	25.65	44.5	0	
PcyM_0111200	PcyM_0111200-t36_1	PcyM_0111200	N/A	115.09	80.32	0	
PcyM_0111300	PcyM_0111300-t36_1	PcyM_0111300	N/A	15.85	4.4	25.44	
PcyM_0111400	PcyM_0111400-t36_1	PcyM_0111400	N/A	19.16	12.02	5.22	
PcyM_0111600	PcyM_0111600-t36_1	PcyM_0111600	N/A	102.87	268.37	56.3	
PcyM_0111700	PcyM_0111700-t36_1	PcyM_0111700	N/A	11.04	3.58	89.3	
PcyM_0111800	PcyM_0111800-t36_1	PcyM_0111800	N/A	357.49	107.08	579.75	
PcyM_0111900	PcyM_0111900-t36_1	PcyM_0111900	RAD14	62.69	29.45	59.07	
PcyM_0112000	PcyM_0112000-t36_1	PcyM_0112000	N/A	137.34	78.68	5.24	
PcyM_0112100	PcyM_0112100-t36_1	PcyM_0112100	RPL34	2678.39	1735.89	25.99	
PcyM_0112200	PcyM_0112200-t36_1	PcyM_0112200	N/A	166.7	109.66	217.24	
PcyM_0112300	PcyM_0112300-t36_1	PcyM_0112300	N/A	52.8	19.59	7.51	
PcyM_0112400	PcyM_0112400-t36_1	PcyM_0112400	RPL1	452.52	175.88	0	
PcyM_0112500	PcyM_0112500-t36_1	PcyM_0112500	Cdc48	23.42	8.56	1.2	
PcyM_0112600	PcyM_0112600-t36_1	PcyM_0112600	N/A	5.34	69.16	5.31	
PcyM_0112700	PcyM_0112700-t36_1	PcyM_0112700	N/A	3.14	0.7	59.04	
PcyM_0112750	PcyM_0112750-t36_1	PcyM_0112750	N/A	20.84	47.31	0	
PcyM_0112800	PcyM_0112800-t36_1	PcyM_0112800	SAP18	49.43	33.78	187.1	
PcyM_0112900	PcyM_0112900-t36_1	PcyM_0112900	N/A	61.83	48	550.54	
PcyM_0112950	PcyM_0112950-t36_1	PcyM_0112950	MPODD	289.81	641.82	19.42	
PcyM_0113000	PcyM_0113000-t36_1	PcyM_0113000	N/A	567.61	386.76	0	
PcyM_0113100	PcyM_0113100-t36_1	PcyM_0113100	N/A	438.93	288.99	4.11	
PcyM_0113200	PcyM_0113200-t36_1	PcyM_0113200	N/A	17.4	73.11	0	
PcyM_0113300	PcyM_0113300-t36_1	PcyM_0113300	N/A	12.09	7.11	3.28	
PcyM_0113500	PcyM_0113500-t36_1	PcyM_0113500	N/A	28.28	11.05	4.65	
PcyM_0113600	PcyM_0113600-t36_1	PcyM_0113600	TyrRS	158.53	91.06	0	
PcyM_0113700	PcyM_0113700-t36_1	PcyM_0113700	RPN10	169.35	122.96	25.35	
PcyM_0113800	PcyM_0113800-t36_1	PcyM_0113800	N/A	4.87	10.14	42.9	
PcyM_0113900	PcyM_0113900-t36_1	PcyM_0113900	N/A	45.12	28.43	24.85	
PcyM_0114000	PcyM_0114000-t36_1	PcyM_0114000	N/A	1205.88	604.37	892.1	
PcyM_0114200	PcyM_0114200-t36_1	PcyM_0114200	COQ10	158.34	52.69	0	
PcyM_0114400	PcyM_0114400-t36_1	PcyM_0114400	RAB18	294.07	179.1	0	
PcyM_0114500	PcyM_0114500-t36_1	PcyM_0114500	N/A	54.69	22.54	131.76	
PcyM_0114600	PcyM_0114600-t36_1	PcyM_0114600	N/A	53.34	27.39	64.68	
PcyM_0114900	PcyM_0114900-t36_1	PcyM_0114900	N/A	489.35	189.43	10.39	
PcyM_0115000	PcyM_0115000-t36_1	PcyM_0115000	N/A	121.15	45.28	2.24	
PcyM_0115100	PcyM_0115100-t36_1	PcyM_0115100	N/A	57.08	54.77	26.87	
PcyM_0115200	PcyM_0115200-t36_1	PcyM_0115200	PTP2	56.45	44.35	16.15	
PcyM_0115300	PcyM_0115300-t36_1	PcyM_0115300	N/A	55.11	29.29	14.57	
PcyM_0115400	PcyM_0115400-t36_1	PcyM_0115400	N/A	17.48	24.92	3.37	
PcyM_0115500	PcyM_0115500-t36_1	PcyM_0115500	N/A	86.08	68.42	36.38	
PcyM_0115600	PcyM_0115600-t36_1	PcyM_0115600	N/A	324.59	51.85	13.15	
PcyM_0115700	PcyM_0115700-t36_1	PcyM_0115700	N/A	13.03	8.95	1.38	
PcyM_0115800	PcyM_0115800-t36_1	PcyM_0115800	N/A	9.86	17.1	33.64	
PcyM_0116000	PcyM_0116000-t36_1	PcyM_0116000	N/A	14.09	11.51	2.42	
PcyM_0116100	PcyM_0116100-t36_1	PcyM_0116100	N/A	2.13	3.44	3.68	
PcyM_0116200	PcyM_0116200-t36_1	PcyM_0116200	N/A	96.36	138.53	0	
PcyM_0116300	PcyM_0116300-t36_1	PcyM_0116300	N/A	1.69	13.2	20.64	
PcyM_0116400	PcyM_0116400-t36_1	PcyM_0116400	N/A	12.95	7.84	11.21	
PcyM_0116600	PcyM_0116600-t36_1	PcyM_0116600	N/A	38.27	303.17	0	
PcyM_0116700	PcyM_0116700-t36_1	PcyM_0116700	N/A	2.82	9.28	0	
PcyM_0116800	PcyM_0116800-t36_1	PcyM_0116800	N/A	111.05	204.64	0	
PcyM_0117000	PcyM_0117000-t36_1	PcyM_0117000	N/A	0	92.88	0.36	
PcyM_0117200	PcyM_0117200-t36_1	PcyM_0117200	GAMER	26.72	40	0	
PcyM_0117300	PcyM_0117300-t36_1	PcyM_0117300	N/A	0.97	101.87	0	
PcyM_0117400	PcyM_0117400-t36_1	PcyM_0117400	N/A	340.85	308.47	4.03	
PcyM_0117700	PcyM_0117700-t36_1	PcyM_0117700	N/A	86.73	63.87	3.02	
PcyM_0117800	PcyM_0117800-t36_1	PcyM_0117800	CYP24	461.06	77	3.82	
PcyM_0117900	PcyM_0117900-t36_1	PcyM_0117900	N/A	21.87	30.86	73.37	
PcyM_0118000	PcyM_0118000-t36_1	PcyM_0118000	N/A	34.98	19.66	0	
PcyM_0118100	PcyM_0118100-t36_1	PcyM_0118100	N/A	21.95	8.65	29.43	
PcyM_0118300	PcyM_0118300-t36_1	PcyM_0118300	METAP1c	91.19	48.34	0	
PcyM_0118400	PcyM_0118400-t36_1	PcyM_0118400	N/A	48.64	60.97	3.65	
PcyM_0118500	PcyM_0118500-t36_1	PcyM_0118500	N/A	30.68	37.36	195.64	
PcyM_0118600	PcyM_0118600-t36_1	PcyM_0118600	N/A	2395.57	829.33	228.92	
PcyM_0118700	PcyM_0118700-t36_1	PcyM_0118700	g-tub	267.27	162.88	0	
PcyM_0118900	PcyM_0118900-t36_1	PcyM_0118900	N/A	20.06	18.08	29.4	
PcyM_0119000	PcyM_0119000-t36_1	PcyM_0119000	N/A	10.19	3.88	0.73	
PcyM_0119200	PcyM_0119200-t36_1	PcyM_0119200	N/A	23.04	9.29	19.46	
PcyM_0119300	PcyM_0119300-t36_1	PcyM_0119300	N/A	107.28	31.66	0	
PcyM_0119400	PcyM_0119400-t36_1	PcyM_0119400	N/A	12.54	13.59	43.29	
PcyM_0119500	PcyM_0119500-t36_1	PcyM_0119500	UTP14	34.54	38.17	95.94	
PcyM_0119600	PcyM_0119600-t36_1	PcyM_0119600	CYP81	55.46	49.68	7.93	
PcyM_0119650	PcyM_0119650-t36_1	PcyM_0119650	N/A	69.38	354.79	1203.96	
PcyM_0119700	PcyM_0119700-t36_1	PcyM_0119700	CNA	85.16	112.29	0.78	
PcyM_0119800	PcyM_0119800-t36_1	PcyM_0119800	N/A	64.74	124.42	342.18	
PcyM_0119900	PcyM_0119900-t36_1	PcyM_0119900	N/A	19.66	7.18	74.84	
PcyM_0120100	PcyM_0120100-t36_1	PcyM_0120100	N/A	21.66	6.21	0	
PcyM_0120200	PcyM_0120200-t36_1	PcyM_0120200	N/A	27.01	15.7	17.3	
PcyM_0120300	PcyM_0120300-t36_1	PcyM_0120300	PWP2	22.38	3.25	0.83	
PcyM_0120400	PcyM_0120400-t36_1	PcyM_0120400	1-CysPrx	3260.52	479.55	428.72	
PcyM_0120500	PcyM_0120500-t36_1	PcyM_0120500	ApiAP2	3.4	6.14	0.16	
PcyM_0120700	PcyM_0120700-t36_1	PcyM_0120700	GDH3	91.46	35.69	91.47	
PcyM_0120800	PcyM_0120800-t36_1	PcyM_0120800	N/A	35.35	8.41	32.61	
PcyM_0120900	PcyM_0120900-t36_1	PcyM_0120900	N/A	12.22	7.31	20.33	
PcyM_0121000	PcyM_0121000-t36_1	PcyM_0121000	SENP2	37.45	16.8	7.69	
PcyM_0121100	PcyM_0121100-t36_1	PcyM_0121100	N/A	1041.01	322.05	0	
PcyM_0121200	PcyM_0121200-t36_1	PcyM_0121200	NOL10	41.87	79.39	1.68	
PcyM_0121300	PcyM_0121300-t36_1	PcyM_0121300	N/A	4.04	9.28	221.56	
PcyM_0121400	PcyM_0121400-t36_1	PcyM_0121400	WARP	0.08	3.85	3.3	
PcyM_0121700	PcyM_0121700-t36_1	PcyM_0121700	N/A	0.85	2058.8	1.35	
PcyM_0121800	PcyM_0121800-t36_1	PcyM_0121800	N/A	4.43	45.12	14.8	
PcyM_0122000	PcyM_0122000-t36_1	PcyM_0122000	N/A	1.72	505.56	0	
PcyM_0122200	PcyM_0122200-t36_1	PcyM_0122200	REX3	3.54	462.42	0	
PcyM_0122300	PcyM_0122300-t36_1	PcyM_0122300	N/A	0.61	87.29	0	
PcyM_0122400	PcyM_0122400-t36_1	PcyM_0122400	N/A	0	2.96	0	
PcyM_0122500	PcyM_0122500-t36_1	PcyM_0122500	N/A	0	2.11	0	
PcyM_0122600	PcyM_0122600-t36_1	PcyM_0122600	N/A	0	1.68	0	
PcyM_0122700	PcyM_0122700-t36_1	PcyM_0122700	N/A	0.07	73.58	0.79	
PcyM_0122800	PcyM_0122800-t36_1	PcyM_0122800	N/A	0	16.32	0	
PcyM_0122850	PcyM_0122850-t36_1	PcyM_0122850	N/A	0	20.8	0	
PcyM_0122900	PcyM_0122900-t36_1	PcyM_0122900	N/A	0	70.29	0.82	
PcyM_0123100	PcyM_0123100-t36_1	PcyM_0123100	N/A	0	17.42	0	
PcyM_0123200	PcyM_0123200-t36_1	PcyM_0123200	N/A	0	1292.55	0	
PcyM_0123300	PcyM_0123300-t36_1	PcyM_0123300	N/A	0	8.58	0	
PcyM_0123400	PcyM_0123400-t36_1	PcyM_0123400	N/A	0	128.59	0	
PcyM_0123500	PcyM_0123500-t36_1	PcyM_0123500	N/A	0	0.38	0	
PcyM_0123600	PcyM_0123600-t36_1	PcyM_0123600	N/A	0	6.2	0	
PcyM_0123700	PcyM_0123700-t36_1	PcyM_0123700	N/A	0	0.55	0	
PcyM_0123800	PcyM_0123800-t36_1	PcyM_0123800	N/A	0	3.13	1.3	
PcyM_0123900	PcyM_0123900-t36_1	PcyM_0123900	N/A	0	1.84	0	
PcyM_0124000	PcyM_0124000-t36_1	PcyM_0124000	N/A	0	1.36	0	
PcyM_0124100	PcyM_0124100-t36_1	PcyM_0124100	N/A	0.03	51.98	1.1	
PcyM_0124150	PcyM_0124150-t36_1	PcyM_0124150	N/A	0	0	1.73	
PcyM_0124200	PcyM_0124200-t36_1	PcyM_0124200	N/A	0	6.46	0	
PcyM_0200100	PcyM_0200100-t36_1	PcyM_0200100	N/A	0	22.43	0	
PcyM_0200200	PcyM_0200200-t36_1	PcyM_0200200	N/A	0	63.44	0	
PcyM_0200250	PcyM_0200250-t36_1	PcyM_0200250	N/A	0	16.98	7.61	
PcyM_0200300	PcyM_0200300-t36_1	PcyM_0200300	N/A	0	41.68	0	
PcyM_0200350	PcyM_0200350-t36_1	PcyM_0200350	N/A	0.68	4.09	1.93	
PcyM_0200400	PcyM_0200400-t36_1	PcyM_0200400	N/A	0.17	25.52	0	
PcyM_0200600	PcyM_0200600-t36_1	PcyM_0200600	N/A	0	18.75	0.88	
PcyM_0200700	PcyM_0200700-t36_1	PcyM_0200700	N/A	0	2.97	2.37	
PcyM_0200800	PcyM_0200800-t36_1	PcyM_0200800	N/A	0.4	21.55	2.37	
PcyM_0200900	PcyM_0200900-t36_1	PcyM_0200900	N/A	0.27	5.38	0	
PcyM_0201000	PcyM_0201000-t36_1	PcyM_0201000	N/A	0	24.32	0	
PcyM_0201100	PcyM_0201100-t36_1	PcyM_0201100	N/A	0	45.73	0	
PcyM_0201150	PcyM_0201150-t36_1	PcyM_0201150	N/A	0.15	22.75	0	
PcyM_0201300	PcyM_0201300-t36_1	PcyM_0201300	N/A	0	55.82	0	
PcyM_0201400	PcyM_0201400-t36_1	PcyM_0201400	N/A	0	37.03	2.48	
PcyM_0201500	PcyM_0201500-t36_1	PcyM_0201500	N/A	0	9.82	0	
PcyM_0201550	PcyM_0201550-t36_1	PcyM_0201550	N/A	0	1.18	0	
PcyM_0201700	PcyM_0201700-t36_1	PcyM_0201700	N/A	0	36.76	0.77	
PcyM_0201800	PcyM_0201800-t36_1	PcyM_0201800	N/A	0	3.09	2.56	
PcyM_0201900	PcyM_0201900-t36_1	PcyM_0201900	N/A	0	5.2	0.52	
PcyM_0202000	PcyM_0202000-t36_1	PcyM_0202000	N/A	0	25.05	2.48	
PcyM_0202050	PcyM_0202050-t36_1	PcyM_0202050	N/A	0	2.39	1.41	
PcyM_0202100	PcyM_0202100-t36_1	PcyM_0202100	N/A	0	11.22	0	
PcyM_0202200	PcyM_0202200-t36_1	PcyM_0202200	N/A	0	0.94	0	
PcyM_0202300	PcyM_0202300-t36_1	PcyM_0202300	N/A	0.69	342.48	2.74	
PcyM_0202500	PcyM_0202500-t36_1	PcyM_0202500	N/A	3.33	1260.33	0	
PcyM_0202600	PcyM_0202600-t36_1	PcyM_0202600	N/A	0	14.51	2.88	
PcyM_0202700	PcyM_0202700-t36_1	PcyM_0202700	N/A	0	807.55	0	
PcyM_0202800	PcyM_0202800-t36_1	PcyM_0202800	N/A	1.34	99.25	4.02	
PcyM_0202900	PcyM_0202900-t36_1	PcyM_0202900	N/A	9.73	744.88	0.81	
PcyM_0203000	PcyM_0203000-t36_1	PcyM_0203000	N/A	12.72	784.79	3.86	
PcyM_0203100	PcyM_0203100-t36_1	PcyM_0203100	N/A	0	793.95	0	
PcyM_0203300	PcyM_0203300-t36_1	PcyM_0203300	N/A	0	191.69	0	
PcyM_0203400	PcyM_0203400-t36_1	PcyM_0203400	N/A	1.98	439.95	8.67	
PcyM_0203500	PcyM_0203500-t36_1	PcyM_0203500	N/A	0.72	326.34	0	
PcyM_0203600	PcyM_0203600-t36_1	PcyM_0203600	N/A	1.04	40.57	2.26	
PcyM_0203700	PcyM_0203700-t36_1	PcyM_0203700	N/A	150	15.61	0	
PcyM_0203800	PcyM_0203800-t36_1	PcyM_0203800	N/A	0.89	80.79	0	
PcyM_0203900	PcyM_0203900-t36_1	PcyM_0203900	N/A	9.12	223.4	1.06	
PcyM_0204200	PcyM_0204200-t36_1	PcyM_0204200	MRP1	0.76	1.95	4.03	
PcyM_0204400	PcyM_0204400-t36_1	PcyM_0204400	N/A	1.41	5.5	0	
PcyM_0204500	PcyM_0204500-t36_1	PcyM_0204500	N/A	105.6	104.54	45.14	
PcyM_0204600	PcyM_0204600-t36_1	PcyM_0204600	N/A	304.03	652.39	0	
PcyM_0204700	PcyM_0204700-t36_1	PcyM_0204700	N/A	124.4	117.26	121.46	
PcyM_0204800	PcyM_0204800-t36_1	PcyM_0204800	N/A	424.79	1076.51	6.14	
PcyM_0204900	PcyM_0204900-t36_1	PcyM_0204900	N/A	100.74	265.83	80.87	
PcyM_0205000	PcyM_0205000-t36_1	PcyM_0205000	N/A	228.74	179.68	9.45	
PcyM_0205100	PcyM_0205100-t36_1	PcyM_0205100	GEXP19	48.25	32.5	1.82	
PcyM_0205300	PcyM_0205300-t36_1	PcyM_0205300	N/A	34.81	22.96	36.66	
PcyM_0205400	PcyM_0205400-t36_1	PcyM_0205400	N/A	854.07	308.91	0	
PcyM_0205600	PcyM_0205600-t36_1	PcyM_0205600	N/A	3.12	12.08	1.59	
PcyM_0205700	PcyM_0205700-t36_1	PcyM_0205700	AKLP1	295.57	268.64	101.26	
PcyM_0205800	PcyM_0205800-t36_1	PcyM_0205800	N/A	321.65	376.62	1.2	
PcyM_0206000	PcyM_0206000-t36_1	PcyM_0206000	N/A	267.35	897.74	5.92	
PcyM_0206100	PcyM_0206100-t36_1	PcyM_0206100	PIP5K	24.82	24.48	0.83	
PcyM_0206300	PcyM_0206300-t36_1	PcyM_0206300	N/A	8.8	6.74	71.93	
PcyM_0206400	PcyM_0206400-t36_1	PcyM_0206400	N/A	615.66	381.22	1861.11	
PcyM_0206500	PcyM_0206500-t36_1	PcyM_0206500	ERV1	206.26	109.77	0	
PcyM_0206600	PcyM_0206600-t36_1	PcyM_0206600	N/A	11.18	71.45	15.45	
PcyM_0206700	PcyM_0206700-t36_1	PcyM_0206700	N/A	12.54	366.76	0	
PcyM_0206800	PcyM_0206800-t36_1	PcyM_0206800	N/A	257.89	221.3	0	
PcyM_0206900	PcyM_0206900-t36_1	PcyM_0206900	N/A	61.65	38.94	173.1	
PcyM_0207400	PcyM_0207400-t36_1	PcyM_0207400	N/A	145.61	43.24	32.13	
PcyM_0207500	PcyM_0207500-t36_1	PcyM_0207500	N/A	87.3	98.88	206.96	
PcyM_0207600	PcyM_0207600-t36_1	PcyM_0207600	N/A	243.31	83.53	469.24	
PcyM_0207700	PcyM_0207700-t36_1	PcyM_0207700	N/A	575.32	352.25	9.13	
PcyM_0207800	PcyM_0207800-t36_1	PcyM_0207800	N/A	267.07	398.67	0	
PcyM_0207900	PcyM_0207900-t36_1	PcyM_0207900	N/A	34.18	255.28	0	
PcyM_0208000	PcyM_0208000-t36_1	PcyM_0208000	N/A	704.74	201.21	6.59	
PcyM_0208100	PcyM_0208100-t36_1	PcyM_0208100	CCp5	2.58	479.43	0	
PcyM_0208200	PcyM_0208200-t36_1	PcyM_0208200	N/A	28.18	103.66	0	
PcyM_0208400	PcyM_0208400-t36_1	PcyM_0208400	N/A	95.96	71.25	274.4	
PcyM_0208500	PcyM_0208500-t36_1	PcyM_0208500	N/A	7.91	4.28	15.76	
PcyM_0208600	PcyM_0208600-t36_1	PcyM_0208600	N/A	242.29	151.78	26.54	
PcyM_0208700	PcyM_0208700-t36_1	PcyM_0208700	N/A	533.13	169.96	0	
PcyM_0208800	PcyM_0208800-t36_1	PcyM_0208800	N/A	260.12	48.51	0	
PcyM_0208900	PcyM_0208900-t36_1	PcyM_0208900	N/A	35.61	33.63	103.8	
PcyM_0209000	PcyM_0209000-t36_1	PcyM_0209000	N/A	102.42	18.65	20.62	
PcyM_0209100	PcyM_0209100-t36_1	PcyM_0209100	N/A	1391.79	636.83	1266.75	
PcyM_0209200	PcyM_0209200-t36_1	PcyM_0209200	N/A	133.85	98.08	0	
PcyM_0209300	PcyM_0209300-t36_1	PcyM_0209300	MRE11	39.33	24.33	1.86	
