Gene ID	source_id	smru1 - smru1 6 hours - unique (intraerythrocytic cycle)	smru1 - smru1 18 hours - unique (intraerythrocytic cycle)	smru1 - smru1 24 hours - unique (intraerythrocytic cycle)	smru1 - smru1 30 hours - unique (intraerythrocytic cycle)	smru1 - smru1 36 hours - unique (intraerythrocytic cycle)	smru1 - smru1 48 hours - unique (intraerythrocytic cycle)	smru1 - smru1 42 hours - unique (intraerythrocytic cycle)	smru2 - smru2 6 hours - unique (intraerythrocytic cycle)	smru2 - smru2 12 hours - unique (intraerythrocytic cycle)	smru2 - smru2 18 hours - unique (intraerythrocytic cycle)	smru2 - smru2 24 hours - unique (intraerythrocytic cycle)	smru2 - smru2 30 hours - unique (intraerythrocytic cycle)	smru2 - smru2 36 hours - unique (intraerythrocytic cycle)	smru2 - smru2 42 hours - unique (intraerythrocytic cycle)	smru2 - smru2 48 hours - unique (intraerythrocytic cycle)	
PVP01_0008640	PVP01_0008640.1	1.68	1.33	0.49	0.61	0	0.88	0	3.51	1.35	0	1.56	0	0.48	0	0.77	
PVP01_1248600	PVP01_1248600.1	5.69	61.91	89.24	56.91	19.83	10.37	10.96	14.17	41.8	65.67	74.68	31.55	15.73	11.87	18.32	
PVP01_0008680	PVP01_0008680.1	0	0	0	0	0	0.49	0.62	1.17	1	0.6	0.43	0	0	0.66	0.43	
PVP01_1249000	PVP01_1249000.1	14.61	20.56	32.67	61.5	115.78	33.21	63.53	44.42	19.41	24.97	49.08	98.03	88.84	52.55	38.61	
PVP01_1249300	PVP01_1249300.1	55.49	49.04	47.29	34.37	26.44	33.54	34.65	47	56.48	60.25	55.84	42.44	43.36	35.14	54	
PVP01_0009540	PVP01_0009540.1	3.76	2.12	0.94	0	0.98	0.42	0	2.02	1.3	1.04	0.75	1.87	0	0.57	0	
PVP01_1249500	PVP01_1249500.1	19.18	41.5	50.35	24.41	9.9	10.73	9	20.98	37.97	45.27	37.12	17.29	11.48	10.8	16.86	
PVP01_1249600	PVP01_1249600.1	256.47	266.55	172.66	50.95	33.52	108.72	70.28	233.09	275.22	229.52	105.78	48.63	60.25	97.01	111.13	
PVP01_1249900	PVP01_1249900.1	173.37	208.14	213.33	418.19	648.51	154.46	334.73	439.15	226.86	227.52	299.19	586.68	458.47	234.83	162.37	
PVP01_0003090	PVP01_0003090.1	0.36	0.29	0	0.4	0	0.29	0	13.92	15.28	9.57	12.41	10.89	5.67	3.1	8.74	
PVP01_1250500	PVP01_1250500.1	29.55	7.21	20.95	16.73	28.95	95.99	55.75	13.81	14.1	14.88	26.85	26.1	34.67	64.21	68.69	
PVP01_1250800	PVP01_1250800.1	5.05	19.12	13.29	3.15	1.98	4.82	2.15	10.84	16.57	17.88	10.77	1.75	4.37	2.3	4.94	
PVP01_0003130	PVP01_0003130.1	0	0.26	0	0	0	0	0	0.41	0.26	0.32	0.46	0.23	0.28	0.35	0.9	
PVP01_1251800	PVP01_1251800.1	138.07	67.28	53.07	24.77	19.84	125.52	76.95	76.31	78.44	65.2	47.27	31.53	40.85	78.45	95.18	
PVP01_0003280	PVP01_0003280.1	0	0.72	0	0	0.42	0	0.45	3.15	1.84	1.78	1.27	1.91	0.79	0.49	0.94	
PVP01_0003290	PVP01_0003290.1	42.12	30.15	13.24	7.81	5.07	7.49	11.83	32.81	33.92	29.33	21.52	6.62	4.81	7.61	14.15	
PVP01_1253800	PVP01_1253800.1	3.32	6.48	25.05	65.98	32.61	15.74	17.69	11.77	6.42	15.59	45.96	46.36	25.73	12.48	15.84	
PVP01_1254300	PVP01_1254300.1	10.08	41.11	120.05	165.66	114.7	32.51	69.51	26.55	28.63	72.14	172.41	126.78	100.39	37.81	33.06	
PVP01_0005250	PVP01_0005250.1	11.09	8.77	5.92	3.16	0	3.03	0.48	15.39	15.53	11.71	8.04	2.68	3.33	4.62	5.28	
PVP01_1254800	PVP01_1254800.1	7.9	23.72	22.15	14.82	7.49	7.69	10.97	15.21	28.99	23.62	19.29	11.41	13.64	11.08	12.11	
PVP01_0005310	PVP01_0005310.1	0	0	0	0	0	0	0	1.6	0	0.62	0	0	0	0	0.44	
PVP01_1256100	PVP01_1256100.1	5.09	15.09	10.42	3.7	3.48	1.67	1.68	10.08	18.79	11.12	4.12	3.54	2.2	4.96	3.78	
PVP01_1256200	PVP01_1256200.1	16.01	72.03	47.14	8.74	10.43	15.87	8.7	28.38	56.8	47.02	19.59	9	9.88	12.57	10.96	
