Gene ID	source_id	Gene Name or Symbol	gene_source_id	sense - salivary gland sporozoites - unique only	Transcriptomic Analysis of Cultured Sporozoites - Sporozoites - unique (Pf3D7 Sporoz_Blood RNA-Seq)	Transcriptomic Analysis of Cultured Sporozoites - Cultured sporozoites - unique (Pf3D7 Sporoz_Blood RNA-Seq)	
PF3D7_1114200	PF3D7_1114200.1	N/A	PF3D7_1114200	0.34	1.56	48.18	
PF3D7_1114400	PF3D7_1114400.1	N/A	PF3D7_1114400	1.32	0.61	33.05	
PF3D7_1114500	PF3D7_1114500.1	N/A	PF3D7_1114500	1.18	0.17	16.49	
PF3D7_1114600	PF3D7_1114600.1	N/A	PF3D7_1114600	1.74	2.1	76.79	
PF3D7_1114700	PF3D7_1114700.1	CLK3	PF3D7_1114700	3.29	4.23	157.07	
PF3D7_1114800	PF3D7_1114800.1	G3PDH	PF3D7_1114800	1.28	2.21	88.6	
PF3D7_1114900	PF3D7_1114900.1	N/A	PF3D7_1114900	2.44	1.52	47.32	
PF3D7_1115000	PF3D7_1115000.1	N/A	PF3D7_1115000	4.88	6.98	32.31	
PF3D7_1115100	PF3D7_1115100.1	N/A	PF3D7_1115100	8.25	32.24	44.26	
PF3D7_1115200	PF3D7_1115200.1	SET7	PF3D7_1115200	116.13	266.06	150.95	
PF3D7_1115300	PF3D7_1115300.1	FP2B	PF3D7_1115300	4.28	5.43	40.04	
PF3D7_1115400	PF3D7_1115400.1	FP3	PF3D7_1115400	374.12	476.17	120.46	
PF3D7_1115500	PF3D7_1115500.1	ApiAP2	PF3D7_1115500	48.81	82.67	40.46	
PF3D7_1115600	PF3D7_1115600.1	CYP19B	PF3D7_1115600	7.9	13.38	54.39	
PF3D7_1115700	PF3D7_1115700.1	FP2A	PF3D7_1115700	16.55	34.09	49.89	
PF3D7_1115800	PF3D7_1115800.1	N/A	PF3D7_1115800	9.55	11.22	136.25	
PF3D7_1115900	PF3D7_1115900.1	DHHC9	PF3D7_1115900	109.39	25.35	47.33	
PF3D7_1116000	PF3D7_1116000.1	RON4	PF3D7_1116000	3.74	8.08	2714.33	
PF3D7_1116100	PF3D7_1116100.1	N/A	PF3D7_1116100	52.25	57.97	34.49	
PF3D7_1116200	PF3D7_1116200.1	PDX2	PF3D7_1116200	8.9	10.04	80.83	
PF3D7_1116200	PF3D7_1116200.2	PDX2	PF3D7_1116200	8.9	10.04	80.83	
PF3D7_1116300	PF3D7_1116300.1	CYP19C	PF3D7_1116300	4.24	8.96	67.1	
PF3D7_1116400	PF3D7_1116400.1	SEC12	PF3D7_1116400	23.23	86.32	145	
PF3D7_1116500	PF3D7_1116500.1	FT2	PF3D7_1116500	14.16	42.43	136.64	
PF3D7_1116600	PF3D7_1116600.1	STT3	PF3D7_1116600	21.45	19.55	52.73	
PF3D7_1116700	PF3D7_1116700.1	DPAP1	PF3D7_1116700	1721.05	3745.98	126.7	
PF3D7_1116800	PF3D7_1116800.1	HSP101	PF3D7_1116800	182.47	380.11	101.93	
PF3D7_1116900	PF3D7_1116900.1	N/A	PF3D7_1116900	926.14	210.3	97.66	
PF3D7_1117000	PF3D7_1117000.1	N/A	PF3D7_1117000	1.31	1.93	73.65	
PF3D7_1117100	PF3D7_1117100.1	UCH54	PF3D7_1117100	5.97	1.77	83.4	
PF3D7_1117200	PF3D7_1117200.1	N/A	PF3D7_1117200	2.24	1.48	88.87	
PF3D7_1117300	PF3D7_1117300.1	N/A	PF3D7_1117300	28.06	118.95	47.17	
PF3D7_1117400	PF3D7_1117400.1	N/A	PF3D7_1117400	7.68	6.04	99.55	
PF3D7_1117500	PF3D7_1117500.1	TyrRSapi	PF3D7_1117500	12.52	3.2	50.44	
PF3D7_1117600	PF3D7_1117600.1	ICT1	PF3D7_1117600	5.96	1.89	51.76	
PF3D7_1117600	PF3D7_1117600.2	ICT1	PF3D7_1117600	5.96	1.89	51.76	
PF3D7_1117700	PF3D7_1117700.1	RAN	PF3D7_1117700	54.78	81.87	161.47	
PF3D7_1117800	PF3D7_1117800.1	MLH	PF3D7_1117800	2.69	0.62	49.3	
PF3D7_1117900	PF3D7_1117900.1	N/A	PF3D7_1117900	2.37	1.2	78.8	
PF3D7_1118000	PF3D7_1118000.1	N/A	PF3D7_1118000	7.36	1.33	21.59	
PF3D7_1118100	PF3D7_1118100.1	AP1S	PF3D7_1118100	5.04	2.18	46.26	
PF3D7_1118200	PF3D7_1118200.1	N/A	PF3D7_1118200	22.62	35.41	81.62	
