Gene ID	source_id	Gene Name or Symbol	gene_source_id	sense - salivary gland sporozoites - unique only	Transcriptomic Analysis of Cultured Sporozoites - Sporozoites - unique (Pf3D7 Sporoz_Blood RNA-Seq)	Transcriptomic Analysis of Cultured Sporozoites - Cultured sporozoites - unique (Pf3D7 Sporoz_Blood RNA-Seq)	
PF3D7_0100100	PF3D7_0100100.1	VAR	PF3D7_0100100	1.24	8.57	226.34	
PF3D7_0100200	PF3D7_0100200.1	RIF	PF3D7_0100200	2.15	0.44	118.77	
PF3D7_0100300	PF3D7_0100300.1	VAR	PF3D7_0100300	2.54	0.27	48.13	
PF3D7_0100400	PF3D7_0100400.1	RIF	PF3D7_0100400	0	0.33	36.42	
PF3D7_0100500	PF3D7_0100500.1	N/A	PF3D7_0100500	3.39	1.3	344.92	
PF3D7_0100600	PF3D7_0100600.1	RIF	PF3D7_0100600	0.35	0.47	140.98	
PF3D7_0100700	PF3D7_0100700.1	N/A	PF3D7_0100700	0	0	14.57	
PF3D7_0100800	PF3D7_0100800.1	RIF	PF3D7_0100800	0	0	27.48	
PF3D7_0100900	PF3D7_0100900.1	RIF	PF3D7_0100900	0	0.21	137.2	
PF3D7_0101000	PF3D7_0101000.1	RIF	PF3D7_0101000	0.35	0.2	71.21	
PF3D7_0101100	PF3D7_0101100.1	EPF4	PF3D7_0101100	0	0.78	13.85	
PF3D7_0101200	PF3D7_0101200.1	EPF3	PF3D7_0101200	0	0.21	4.08	
PF3D7_0101300	PF3D7_0101300.1	MC-2TM	PF3D7_0101300	0.54	0.51	14.19	
PF3D7_0101400	PF3D7_0101400.1	EPF1	PF3D7_0101400	0	0.09	2.56	
PF3D7_0101500	PF3D7_0101500.1	VAR	PF3D7_0101500	0.92	0.04	24.49	
PF3D7_0101600	PF3D7_0101600.1	RIF	PF3D7_0101600	0	0.07	133.22	
PF3D7_0101700	PF3D7_0101700.1	VAR	PF3D7_0101700	0.72	0.11	3.64	
PF3D7_0101800	PF3D7_0101800.1	N/A	PF3D7_0101800	0	0.33	46.68	
PF3D7_0101900	PF3D7_0101900.1	RIF	PF3D7_0101900	1.1	0.21	318.66	
PF3D7_0102000	PF3D7_0102000.1	N/A	PF3D7_0102000	3.63	0	42.88	
PF3D7_0102100	PF3D7_0102100.1	N/A	PF3D7_0102100	5.5	0	22.08	
PF3D7_0102200	PF3D7_0102200.1	RESA	PF3D7_0102200	5.87	0.74	63.85	
PF3D7_0102300	PF3D7_0102300.1	N/A	PF3D7_0102300	0	0.62	42.37	
PF3D7_0102400	PF3D7_0102400.1	N/A	PF3D7_0102400	4.18	0.57	61.79	
PF3D7_0102500	PF3D7_0102500.1	EBA181	PF3D7_0102500	3.54	3.36	117.41	
PF3D7_0102600	PF3D7_0102600.1	FIKK1	PF3D7_0102600	13.42	142.71	201.75	
PF3D7_0102700	PF3D7_0102700.1	MaTrA	PF3D7_0102700	73.35	41.98	73.9	
PF3D7_0102800	PF3D7_0102800.1	N/A	PF3D7_0102800	8.91	66.85	43.37	
PF3D7_0102900	PF3D7_0102900.1	N/A	PF3D7_0102900	3.18	1.24	127.29	
PF3D7_0103000	PF3D7_0103000.1	N/A	PF3D7_0103000	10.23	6.26	67.12	
PF3D7_0103100	PF3D7_0103100.1	VPS51	PF3D7_0103100	2.6	1.07	80.23	
PF3D7_0103200	PF3D7_0103200.1	NT4	PF3D7_0103200	7.67	3.46	123.83	
PF3D7_0103300	PF3D7_0103300.1	N/A	PF3D7_0103300	3.34	5.86	387.92	
PF3D7_0103400	PF3D7_0103400.1	N/A	PF3D7_0103400	10.28	25.82	135.89	
PF3D7_0103500	PF3D7_0103500.1	N/A	PF3D7_0103500	5.21	4.29	27.44	
PF3D7_0103600	PF3D7_0103600.1	PSH1	PF3D7_0103600	7.72	5.22	95.9	
PF3D7_0103700	PF3D7_0103700.1	PSTK	PF3D7_0103700	29.28	13.77	42.33	
PF3D7_0103800	PF3D7_0103800.1	ARP1	PF3D7_0103800	19.89	3.7	81.46	
PF3D7_0103900	PF3D7_0103900.1	PIESP15	PF3D7_0103900	5.02	21.29	55.36	
PF3D7_0104000	PF3D7_0104000.1	TRSP	PF3D7_0104000	3064.01	1616.6	53.78	
PF3D7_0104100	PF3D7_0104100.1	N/A	PF3D7_0104100	913.16	471.47	36.09	
PF3D7_0104200	PF3D7_0104200.1	N/A	PF3D7_0104200	126.04	488.85	159.89	
PF3D7_0104300	PF3D7_0104300.1	UBP1	PF3D7_0104300	20.82	75.85	131.19	
PF3D7_0104400	PF3D7_0104400.1	LytB	PF3D7_0104400	46.29	59.88	85.8	
PF3D7_0104500	PF3D7_0104500.1	N/A	PF3D7_0104500	49.42	1.66	101.29	
PF3D7_0104600	PF3D7_0104600.1	N/A	PF3D7_0104600	1.31	0.94	37.88	
PF3D7_0104700	PF3D7_0104700.1	MFR2	PF3D7_0104700	3	1.98	48.23	
PF3D7_0104800	PF3D7_0104800.1	NPT1	PF3D7_0104800	237.18	52.51	27.99	
PF3D7_0105100	PF3D7_0105100.1	N/A	PF3D7_0105100	1.76	0.34	49.13	
PF3D7_0105200	PF3D7_0105200.1	N/A	PF3D7_0105200	12.67	3.2	37.14	
PF3D7_0105300	PF3D7_0105300.1	CAP	PF3D7_0105300	17.01	2.38	24.89	
PF3D7_0105400	PF3D7_0105400.1	N/A	PF3D7_0105400	5.39	0.34	90.66	
PF3D7_0105400	PF3D7_0105400.2	N/A	PF3D7_0105400	5.39	0.34	90.66	
PF3D7_0105500	PF3D7_0105500.1	N/A	PF3D7_0105500	11.08	3.59	44.98	
PF3D7_0105600	PF3D7_0105600.1	N/A	PF3D7_0105600	93.88	11.89	34.77	
PF3D7_0105700	PF3D7_0105700.1	N/A	PF3D7_0105700	9.82	42.54	74.82	
PF3D7_0105800	PF3D7_0105800.1	N/A	PF3D7_0105800	22.98	9.94	34.71	
PF3D7_0105900	PF3D7_0105900.1	N/A	PF3D7_0105900	13.92	6.06	71.33	
PF3D7_0106000	PF3D7_0106000.1	N/A	PF3D7_0106000	24.41	13.86	45.48	
PF3D7_0106100	PF3D7_0106100.1	N/A	PF3D7_0106100	23.94	66.83	78.86	
PF3D7_0106200	PF3D7_0106200.1	N/A	PF3D7_0106200	11.68	6.63	26.42	
PF3D7_0106300	PF3D7_0106300.1	ATP6	PF3D7_0106300	76.99	216.32	140.05	
PF3D7_0106400	PF3D7_0106400.1	N/A	PF3D7_0106400	14.23	32.17	54.98	
PF3D7_0106500	PF3D7_0106500.1	N/A	PF3D7_0106500	1.55	2.17	80.81	
PF3D7_0106600	PF3D7_0106600.1	N/A	PF3D7_0106600	2.8	7.2	485.99	
PF3D7_0106700	PF3D7_0106700.1	AARP2	PF3D7_0106700	14.4	27.66	329.49	
PF3D7_0106800	PF3D7_0106800.1	RAB5c	PF3D7_0106800	13.92	3.5	34.22	
PF3D7_0106900	PF3D7_0106900.1	IspD	PF3D7_0106900	3.6	2.74	57.18	
PF3D7_0107000	PF3D7_0107000.1	CEN1	PF3D7_0107000	7.66	8.05	132.57	
PF3D7_0107100	PF3D7_0107100.1	N/A	PF3D7_0107100	38.89	24.28	25.93	
PF3D7_0107200	PF3D7_0107200.1	CCR4-3	PF3D7_0107200	12.55	18.75	31.12	
PF3D7_0107300	PF3D7_0107300.1	N/A	PF3D7_0107300	472.66	471.86	112.02	
PF3D7_0107400	PF3D7_0107400.1	N/A	PF3D7_0107400	31.33	79.77	28.18	
PF3D7_0107500	PF3D7_0107500.1	NCR1	PF3D7_0107500	107.59	209.41	253.38	
PF3D7_0107600	PF3D7_0107600.1	eIK2	PF3D7_0107600	129.43	364.39	77.96	
PF3D7_0107700	PF3D7_0107700.1	N/A	PF3D7_0107700	49.87	106.78	33.03	
PF3D7_0107800	PF3D7_0107800.1	MRE11	PF3D7_0107800	33	41.89	25.3	
PF3D7_0107900	PF3D7_0107900.1	N/A	PF3D7_0107900	11.18	3.96	25.29	
PF3D7_0108000	PF3D7_0108000.1	N/A	PF3D7_0108000	11.2	2.55	203.32	
PF3D7_0108100	PF3D7_0108100.1	N/A	PF3D7_0108100	1.86	1.37	31.88	
PF3D7_0108300	PF3D7_0108300.1	ARP	PF3D7_0108300	174.82	580.37	168.51	
PF3D7_0108400	PF3D7_0108400.1	N/A	PF3D7_0108400	12.78	26.11	58.28	
PF3D7_0108400	PF3D7_0108400.2	N/A	PF3D7_0108400	12.78	26.11	58.28	
PF3D7_0108500	PF3D7_0108500.1	N/A	PF3D7_0108500	15.94	103.72	324.15	
PF3D7_0108600	PF3D7_0108600.1	N/A	PF3D7_0108600	5.48	6.48	76.21	
PF3D7_0108700	PF3D7_0108700.1	PSOP24	PF3D7_0108700	26.18	396.69	400.09	
PF3D7_0108800	PF3D7_0108800.1	N/A	PF3D7_0108800	13.48	26.83	54.35	
PF3D7_0109000	PF3D7_0109000.1	PHIL1	PF3D7_0109000	1015.87	606.97	20.96	
PF3D7_0109100	PF3D7_0109100.1	CCp5	PF3D7_0109100	24.94	12.71	31.19	
PF3D7_0109200	PF3D7_0109200.1	CFIM25	PF3D7_0109200	311.17	2.19	28.75	
PF3D7_0109300	PF3D7_0109300.1	N/A	PF3D7_0109300	161.78	8.19	22.2	
PF3D7_0109400	PF3D7_0109400.1	N/A	PF3D7_0109400	69.52	76.03	27.4	
PF3D7_0109500	PF3D7_0109500.1	N/A	PF3D7_0109500	139.58	16.81	52.91	
PF3D7_0109600	PF3D7_0109600.1	N/A	PF3D7_0109600	7668.83	21.87	88.71	
PF3D7_0109700	PF3D7_0109700.1	RRP36	PF3D7_0109700	13.52	36.42	91.26	
PF3D7_0109800	PF3D7_0109800.1	cPheRS	PF3D7_0109800	14.03	7.17	52	
PF3D7_0109850	PF3D7_0109850.1	N/A	PF3D7_0109850	0.85	5.69	53.17	
PF3D7_0109950	PF3D7_0109950.1	N/A	PF3D7_0109950	1.51	3.47	35.1	
PF3D7_0110000	PF3D7_0110000.1	N/A	PF3D7_0110000	51.07	6.41	74.87	
PF3D7_0110100	PF3D7_0110100.1	SELB	PF3D7_0110100	28.72	14.26	27.14	
PF3D7_0110200	PF3D7_0110200.1	ERV1	PF3D7_0110200	22.57	6.91	12.45	
PF3D7_0110400	PF3D7_0110400.1	RPB9	PF3D7_0110400	11.92	52.83	172.26	
PF3D7_0110500	PF3D7_0110500.1	BDP3	PF3D7_0110500	7.61	35.05	132.36	
PF3D7_0110600	PF3D7_0110600.1	PIP5K	PF3D7_0110600	80.57	274.1	190.33	
PF3D7_0110700	PF3D7_0110700.1	CAF1C	PF3D7_0110700	14.83	22.32	58.67	
PF3D7_0110800	PF3D7_0110800.1	N/A	PF3D7_0110800	135.47	303.48	147.91	
PF3D7_0110900	PF3D7_0110900.1	AKLP1	PF3D7_0110900	1.35	28.04	71.13	
PF3D7_0111000	PF3D7_0111000.1	N/A	PF3D7_0111000	5.81	20.4	102.86	
PF3D7_0111200	PF3D7_0111200.1	N/A	PF3D7_0111200	40.98	53.51	66.9	
PF3D7_0111300	PF3D7_0111300.1	N/A	PF3D7_0111300	7.52	22.7	76.49	
PF3D7_0111400	PF3D7_0111400.1	GEXP19	PF3D7_0111400	5.62	20.36	66.26	
PF3D7_0111500	PF3D7_0111500.1	N/A	PF3D7_0111500	3.77	21.15	162.68	
PF3D7_0111600	PF3D7_0111600.1	N/A	PF3D7_0111600	6.86	44.46	48.3	
PF3D7_0111700	PF3D7_0111700.1	N/A	PF3D7_0111700	0	12.76	18.39	
PF3D7_0111800	PF3D7_0111800.1	N/A	PF3D7_0111800	16.24	45.82	77.09	
PF3D7_0111900	PF3D7_0111900.1	N/A	PF3D7_0111900	7.14	48.26	95.49	
PF3D7_0112000	PF3D7_0112000.1	TatD	PF3D7_0112000	3	28.61	48.22	
PF3D7_0112100	PF3D7_0112100.1	N/A	PF3D7_0112100	1.54	14.95	26.75	
PF3D7_0112200	PF3D7_0112200.1	MRP1	PF3D7_0112200	0.56	114.71	85.93	
PF3D7_0112800	PF3D7_0112800.1	N/A	PF3D7_0112800	47.28	40.35	113.53	
PF3D7_0112900	PF3D7_0112900.1	N/A	PF3D7_0112900	34.5	31.47	66.14	
PF3D7_0113000	PF3D7_0113000.1	GARP	PF3D7_0113000	28.42	20.1	281.47	
PF3D7_0113100	PF3D7_0113100.1	SURF1.1	PF3D7_0113100	2.57	5.54	156.15	
PF3D7_0113200	PF3D7_0113200.1	N/A	PF3D7_0113200	2.18	4.79	153.83	
PF3D7_0113300	PF3D7_0113300.1	N/A	PF3D7_0113300	1.65	1.62	40.56	
PF3D7_0113400	PF3D7_0113400.1	N/A	PF3D7_0113400	1.17	4.22	58.2	
PF3D7_0113600	PF3D7_0113600.1	SURF1.2	PF3D7_0113600	1.77	1.59	175.85	
PF3D7_0113700	PF3D7_0113700.1	HSP40	PF3D7_0113700	6.37	4.16	249.65	
PF3D7_0113800	PF3D7_0113800.1	N/A	PF3D7_0113800	10.91	30.46	216.23	
PF3D7_0113900	PF3D7_0113900.1	CBP1	PF3D7_0113900	3.42	0.9	50.07	
PF3D7_0114000	PF3D7_0114000.1	EPF1	PF3D7_0114000	3.45	1.56	212.97	
PF3D7_0114100	PF3D7_0114100.1	MC-2TM	PF3D7_0114100	10.83	1.9	10.05	
PF3D7_0114200	PF3D7_0114200.1	EPF3	PF3D7_0114200	16.05	0.56	18.3	
PF3D7_0114300	PF3D7_0114300.1	EPF4	PF3D7_0114300	1.61	0.99	105.1	
PF3D7_0114400	PF3D7_0114400.1	VAR	PF3D7_0114400	3.26	1.69	26.15	
PF3D7_0114500	PF3D7_0114500.1	N/A	PF3D7_0114500	32.07	1.53	96.89	
PF3D7_0114600	PF3D7_0114600.1	N/A	PF3D7_0114600	5.36	0.78	118.9	
PF3D7_0114700	PF3D7_0114700.1	RIF	PF3D7_0114700	1.56	0.9	258.99	
PF3D7_0114800	PF3D7_0114800.1	N/A	PF3D7_0114800	0	1.73	16.32	
PF3D7_0114900	PF3D7_0114900.1	N/A	PF3D7_0114900	0	0.8	55.62	
PF3D7_0115000	PF3D7_0115000.1	SURF1.3	PF3D7_0115000	0.53	1.34	91.47	
PF3D7_0115100	PF3D7_0115100.1	N/A	PF3D7_0115100	0.43	1.4	60.16	
PF3D7_0115150	PF3D7_0115150.1	N/A	PF3D7_0115150	1.25	0.24	72.85	
PF3D7_0115200	PF3D7_0115200.1	RIF	PF3D7_0115200	0.34	0.2	122.07	
PF3D7_0115300	PF3D7_0115300.1	RIF	PF3D7_0115300	0	0.43	162.22	
PF3D7_0115400	PF3D7_0115400.1	N/A	PF3D7_0115400	0.66	0.72	61.69	
PF3D7_0115500	PF3D7_0115500.1	N/A	PF3D7_0115500	2.94	0.45	33.01	
PF3D7_0115600	PF3D7_0115600.1	RIF	PF3D7_0115600	1	0.7	69.88	
PF3D7_0115700	PF3D7_0115700.1	VAR	PF3D7_0115700	3.95	1.5	211.98	
PF3D7_0200100	PF3D7_0200100.1	VAR	PF3D7_0200100	3.64	0.87	133.51	
PF3D7_0200200	PF3D7_0200200.1	RIF	PF3D7_0200200	0.76	0.29	165.16	
PF3D7_0200300	PF3D7_0200300.1	N/A	PF3D7_0200300	0.45	0.22	39.79	
PF3D7_0200400	PF3D7_0200400.1	N/A	PF3D7_0200400	2.75	0.32	54.44	
PF3D7_0200500	PF3D7_0200500.1	RIF	PF3D7_0200500	0.34	0.2	90.14	
PF3D7_0200600	PF3D7_0200600.1	RIF	PF3D7_0200600	1.89	0.13	88.06	
PF3D7_0200700	PF3D7_0200700.1	RIF	PF3D7_0200700	1.77	0.22	267.19	
PF3D7_0200800	PF3D7_0200800.1	N/A	PF3D7_0200800	0	0.06	11.21	
PF3D7_0200900	PF3D7_0200900.1	N/A	PF3D7_0200900	0.43	0	43.53	
PF3D7_0201000	PF3D7_0201000.1	RIF	PF3D7_0201000	0	0.16	137.13	
PF3D7_0201100	PF3D7_0201100.1	N/A	PF3D7_0201100	1.78	0	16.61	
PF3D7_0201200	PF3D7_0201200.1	RIF	PF3D7_0201200	2.18	0.41	116.27	
PF3D7_0201300	PF3D7_0201300.1	N/A	PF3D7_0201300	3.41	0.16	31.6	
PF3D7_0201400	PF3D7_0201400.1	N/A	PF3D7_0201400	0.81	0.31	44.46	
PF3D7_0201500	PF3D7_0201500.1	N/A	PF3D7_0201500	6.33	1.24	115.05	
PF3D7_0201600	PF3D7_0201600.1	RLP1	PF3D7_0201600	82.01	2.05	160.53	
PF3D7_0201700	PF3D7_0201700.1	N/A	PF3D7_0201700	23.34	53.92	94.96	
PF3D7_0201800	PF3D7_0201800.1	KAHsp40	PF3D7_0201800	2.29	13.87	65.72	
PF3D7_0201900	PF3D7_0201900.1	EMP3	PF3D7_0201900	2.24	2.52	133.2	
PF3D7_0202000	PF3D7_0202000.1	KAHRP	PF3D7_0202000	7.2	9.12	336.87	
PF3D7_0202100	PF3D7_0202100.1	LSAP2	PF3D7_0202100	3709.2	9544.64	2415.85	
PF3D7_0202200	PF3D7_0202200.1	PTP1	PF3D7_0202200	17.08	48.39	123.84	
PF3D7_0202300	PF3D7_0202300.1	N/A	PF3D7_0202300	0	1.45	40.83	
PF3D7_0202400	PF3D7_0202400.1	PTEF	PF3D7_0202400	4.58	2.44	118.73	
PF3D7_0202500	PF3D7_0202500.1	ETRAMP2	PF3D7_0202500	22.75	73.06	172.8	
PF3D7_0202600	PF3D7_0202600.1	N/A	PF3D7_0202600	6.63	5.48	190.47	
PF3D7_0202600	PF3D7_0202600.2	N/A	PF3D7_0202600	6.63	5.48	190.47	
PF3D7_0202700	PF3D7_0202700.1	OPP	PF3D7_0202700	5.91	1.98	35.18	
PF3D7_0202800	PF3D7_0202800.1	N/A	PF3D7_0202800	16.63	0.8	49.12	
PF3D7_0202900	PF3D7_0202900.1	DHHC12	PF3D7_0202900	5.18	1.26	73.54	
PF3D7_0203000	PF3D7_0203000.1	ROPE	PF3D7_0203000	19.25	26.89	75.61	
PF3D7_0203100	PF3D7_0203100.1	N/A	PF3D7_0203100	16.61	37.03	114.71	
PF3D7_0203200	PF3D7_0203200.1	N/A	PF3D7_0203200	7.54	1.34	23.31	
PF3D7_0203300	PF3D7_0203300.1	ERCC1	PF3D7_0203300	3.97	2.6	88.71	
PF3D7_0203400	PF3D7_0203400.1	N/A	PF3D7_0203400	249.68	159.13	56.4	
PF3D7_0203600	PF3D7_0203600.1	N/A	PF3D7_0203600	3.76	8.25	37.3	
PF3D7_0203700	PF3D7_0203700.1	MAK16	PF3D7_0203700	2.88	48.78	660.14	
PF3D7_0203800	PF3D7_0203800.1	N/A	PF3D7_0203800	23.22	2.77	92.34	
PF3D7_0203900	PF3D7_0203900.1	N/A	PF3D7_0203900	22.1	4.37	103.72	
PF3D7_0204000	PF3D7_0204000.1	CAPH2	PF3D7_0204000	7.08	3.1	82.63	
PF3D7_0204100	PF3D7_0204100.1	N/A	PF3D7_0204100	38.9	77.75	167.99	
PF3D7_0204200	PF3D7_0204200.1	N/A	PF3D7_0204200	23.25	11.22	49.55	
PF3D7_0204300	PF3D7_0204300.1	N/A	PF3D7_0204300	15.11	18.78	71.67	
PF3D7_0204400	PF3D7_0204400.1	N/A	PF3D7_0204400	8.94	2.47	34.07	
PF3D7_0204500	PF3D7_0204500.1	AspAT	PF3D7_0204500	14.05	14.59	51.93	
PF3D7_0204600	PF3D7_0204600.1	N/A	PF3D7_0204600	2.43	2.96	50.66	
PF3D7_0204700	PF3D7_0204700.1	HT1	PF3D7_0204700	112.36	60.14	185.96	
PF3D7_0204800	PF3D7_0204800.1	N/A	PF3D7_0204800	2.49	5.88	131.78	
PF3D7_0204900	PF3D7_0204900.1	COQ5	PF3D7_0204900	2.73	1.64	33.75	
PF3D7_0205000	PF3D7_0205000.1	N/A	PF3D7_0205000	2.89	2.1	79.14	
PF3D7_0205100	PF3D7_0205100.1	N/A	PF3D7_0205100	2.85	1.24	108.63	
PF3D7_0205200	PF3D7_0205200.1	N/A	PF3D7_0205200	21.9	3.7	57.46	
PF3D7_0205300	PF3D7_0205300.1	N/A	PF3D7_0205300	2	1.81	111	
PF3D7_0205400	PF3D7_0205400.1	N/A	PF3D7_0205400	5.46	8	29.56	
PF3D7_0205500	PF3D7_0205500.1	N/A	PF3D7_0205500	11.98	2.19	32.63	
PF3D7_0205600	PF3D7_0205600.1	N/A	PF3D7_0205600	10.51	1.68	14.02	
PF3D7_0205700	PF3D7_0205700.1	N/A	PF3D7_0205700	13.18	2.94	28.55	
PF3D7_0205700	PF3D7_0205700.2	N/A	PF3D7_0205700	13.18	2.94	28.55	
PF3D7_0205800	PF3D7_0205800.1	PH1	PF3D7_0205800	1.05	6.02	64.32	
PF3D7_0205900	PF3D7_0205900.1	RPN1	PF3D7_0205900	20.89	21.22	36.53	
PF3D7_0206000	PF3D7_0206000.1	RAD2	PF3D7_0206000	14.89	73.94	119.27	
PF3D7_0206100	PF3D7_0206100.1	SufE	PF3D7_0206100	24.73	63.71	78.87	
PF3D7_0206200	PF3D7_0206200.1	PAT	PF3D7_0206200	1102.63	1441.84	218.51	
PF3D7_0206300	PF3D7_0206300.1	AROM	PF3D7_0206300	4.11	12.16	90.57	
PF3D7_0206500	PF3D7_0206500.1	N/A	PF3D7_0206500	163.45	228.21	90.07	
PF3D7_0206600	PF3D7_0206600.1	N/A	PF3D7_0206600	1.87	2.27	24.25	
PF3D7_0206700	PF3D7_0206700.1	ADSL	PF3D7_0206700	3.84	3.09	19.59	
PF3D7_0206800	PF3D7_0206800.1	MSP2	PF3D7_0206800	0.46	8.09	804.8	
PF3D7_0206900	PF3D7_0206900.1	MSP5	PF3D7_0206900	85.13	41.15	29.52	
PF3D7_0206900	PF3D7_0206900.2	MSP5	PF3D7_0206900	85.13	41.15	29.52	
PF3D7_0207000	PF3D7_0207000.1	MSP4	PF3D7_0207000	191.64	172	64.62	
PF3D7_0207100	PF3D7_0207100.1	N/A	PF3D7_0207100	61.08	50.92	47.92	
PF3D7_0207200	PF3D7_0207200.1	ISCA1	PF3D7_0207200	93.71	36.95	42.48	
PF3D7_0207300	PF3D7_0207300.1	SERA8	PF3D7_0207300	1444.73	615.79	60.83	
PF3D7_0207400	PF3D7_0207400.1	SERA7	PF3D7_0207400	4.36	14.36	57.58	
PF3D7_0207500	PF3D7_0207500.1	SERA6	PF3D7_0207500	4.06	0.8	62.71	
PF3D7_0207600	PF3D7_0207600.1	SERA5	PF3D7_0207600	2.11	3.5	125.62	
PF3D7_0207700	PF3D7_0207700.1	SERA4	PF3D7_0207700	0.79	0.73	63.82	
PF3D7_0207800	PF3D7_0207800.1	SERA3	PF3D7_0207800	3.11	0.26	32.53	
PF3D7_0207900	PF3D7_0207900.1	SERA2	PF3D7_0207900	4.62	2.85	127.56	
PF3D7_0208000	PF3D7_0208000.1	SERA1	PF3D7_0208000	9.69	2.83	45.94	
PF3D7_0208100	PF3D7_0208100.1	N/A	PF3D7_0208100	2.04	1.27	50.7	
PF3D7_0208200	PF3D7_0208200.1	KRR1	PF3D7_0208200	4.23	3.07	27.74	
PF3D7_0208300	PF3D7_0208300.1	N/A	PF3D7_0208300	3.49	1.05	17.58	
PF3D7_0208400	PF3D7_0208400.1	N/A	PF3D7_0208400	6.28	16.44	44.71	
PF3D7_0208500	PF3D7_0208500.1	ACP	PF3D7_0208500	14.63	11.08	109.38	
PF3D7_0208600	PF3D7_0208600.1	RRF1	PF3D7_0208600	12.08	14.45	127.33	
PF3D7_0208700	PF3D7_0208700.1	N/A	PF3D7_0208700	7.53	6.71	105.34	
PF3D7_0208700	PF3D7_0208700.2	N/A	PF3D7_0208700	7.53	6.71	105.34	
PF3D7_0208800	PF3D7_0208800.1	N/A	PF3D7_0208800	7.62	34.05	66.36	
PF3D7_0208900	PF3D7_0208900.1	P230p	PF3D7_0208900	2.17	1.11	57	
PF3D7_0209000	PF3D7_0209000.1	P230	PF3D7_0209000	6.82	7.3	148.8	
PF3D7_0209100	PF3D7_0209100.1	PATPL1	PF3D7_0209100	3.62	2.86	61.8	
PF3D7_0209200	PF3D7_0209200.1	MTR3	PF3D7_0209200	0.92	0.18	37.26	
PF3D7_0209300	PF3D7_0209300.1	IspF	PF3D7_0209300	0.53	0.3	12.13	
PF3D7_0209400	PF3D7_0209400.1	N/A	PF3D7_0209400	3.63	1.08	25.73	
PF3D7_0209500	PF3D7_0209500.1	N/A	PF3D7_0209500	17.01	7.6	46.98	
PF3D7_0209600	PF3D7_0209600.1	N/A	PF3D7_0209600	10	6.24	33.72	
PF3D7_0209700	PF3D7_0209700.1	N/A	PF3D7_0209700	185.54	329.79	423.52	
PF3D7_0209800	PF3D7_0209800.1	UAP56	PF3D7_0209800	11.63	16.49	64.78	
PF3D7_0210000	PF3D7_0210000.1	Sec61-gamma	PF3D7_0210000	28.7	92.97	223.19	
PF3D7_0210100	PF3D7_0210100.1	N/A	PF3D7_0210100	172.22	63.58	177.49	
PF3D7_0210100	PF3D7_0210100.2	N/A	PF3D7_0210100	172.22	63.58	177.49	
PF3D7_0210200	PF3D7_0210200.1	N/A	PF3D7_0210200	3.73	1.22	69.96	
PF3D7_0210300	PF3D7_0210300.1	N/A	PF3D7_0210300	9.85	2.86	42.12	
PF3D7_0210400	PF3D7_0210400.1	N/A	PF3D7_0210400	0	0.2	28.3	
PF3D7_0210500	PF3D7_0210500.1	N/A	PF3D7_0210500	2.36	0.29	21.47	
PF3D7_0210600	PF3D7_0210600.1	CERLI1	PF3D7_0210600	33.46	52.47	66.58	
PF3D7_0210700	PF3D7_0210700.1	SYN17	PF3D7_0210700	40.12	123.78	33.39	
PF3D7_0210800	PF3D7_0210800.1	N/A	PF3D7_0210800	28.58	101.2	44.22	
PF3D7_0210900	PF3D7_0210900.1	N/A	PF3D7_0210900	68.49	78.03	104.76	
PF3D7_0211100	PF3D7_0211100.1	N/A	PF3D7_0211100	1.72	0.09	18.71	
PF3D7_0211200	PF3D7_0211200.1	RAB5a	PF3D7_0211200	1.07	0.82	53.16	
PF3D7_0211300	PF3D7_0211300.1	N/A	PF3D7_0211300	1.3	0.83	31.23	
PF3D7_0211400	PF3D7_0211400.1	KASIII	PF3D7_0211400	1.92	0.33	111.96	
PF3D7_0211500	PF3D7_0211500.1	N/A	PF3D7_0211500	1.85	1.32	121.82	
PF3D7_0211600	PF3D7_0211600.1	ALG14	PF3D7_0211600	4.6	5.2	32.12	
PF3D7_0211700	PF3D7_0211700.1	TKL1	PF3D7_0211700	28.24	36.56	41.4	
PF3D7_0211800	PF3D7_0211800.1	AsnRS	PF3D7_0211800	5.15	3.66	109.47	
PF3D7_0211900	PF3D7_0211900.1	N/A	PF3D7_0211900	4.74	1.83	89.84	
PF3D7_0212000	PF3D7_0212000.1	N/A	PF3D7_0212000	0.41	1.09	29.33	
PF3D7_0212100	PF3D7_0212100.1	N/A	PF3D7_0212100	6.56	16.15	117.91	
PF3D7_0212200	PF3D7_0212200.1	N/A	PF3D7_0212200	1.02	0	9.21	
PF3D7_0212300	PF3D7_0212300.1	ERF1	PF3D7_0212300	3.94	1.19	246.97	
PF3D7_0212400	PF3D7_0212400.1	N/A	PF3D7_0212400	19.02	30.28	46.6	
PF3D7_0212500	PF3D7_0212500.1	N/A	PF3D7_0212500	34.83	65.17	49.05	
PF3D7_0212600	PF3D7_0212600.1	SPATR	PF3D7_0212600	1210.25	671.29	83.06	
PF3D7_0212700	PF3D7_0212700.1	N/A	PF3D7_0212700	37.66	95.98	33.06	
PF3D7_0212800	PF3D7_0212800.1	MATE	PF3D7_0212800	56.37	57.91	80.47	
PF3D7_0212900	PF3D7_0212900.1	ATEL1	PF3D7_0212900	5.01	5.7	39.44	
PF3D7_0213000	PF3D7_0213000.1	N/A	PF3D7_0213000	95.61	18.75	102.81	
